,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
4054,Teemo,90,21219,0.5,0.58,1.63,12.0,618.0,MonkeyKing,92,483646,-1.0,0.0,0.0,0.0,-1.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Ezreal,382,765841,0.5,0.49,2.06,403.0,655.0,Xerath,249,238276,0.52,0.58,2.48,285.0,671.0,Irelia,Graves,Chogath,Jhin,Nami,0
4055,Garen,248,129850,0.55,0.51,2.26,88.0,361.0,Rammus,249,134119,0.52,0.56,3.18,55.0,671.0,Ahri,234,25604,0.51,0.52,3.1,27.0,177.0,Brand,274,166666,0.49,0.66,2.79,41.0,373.0,Leona,404,1393436,0.48,0.5,2.07,123.0,511.0,Gangplank,Zed,Vladimir,Ezreal,Zilean,0
4056,Graves,610,16489,0.48,0.5,1.82,14.0,867.0,Diana,552,85907,0.47,0.45,2.87,20.0,154.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Jinx,549,830173,0.49,0.41,2.25,61.0,764.0,Renata,184,19816,0.48,0.55,2.57,33.0,250.0,Jax,Vi,Kaisa,Jhin,Senna,1
4057,Singed,442,1171577,0.54,0.54,2.22,393.0,393.0,Evelynn,130,846852,0.51,0.54,2.77,411.0,472.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Ezreal,281,187083,0.54,0.54,3.19,24.0,220.0,Rakan,355,225418,0.56,0.49,2.76,37.0,209.0,Kayle,Hecarim,Anivia,Vayne,Karma,0
4058,Sett,523,719961,0.38,0.44,1.95,18.0,24.0,Singed,112,289330,0.43,0.46,3.36,82.0,173.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Jinx,244,48314,0.51,0.5,2.36,8.0,117.0,Lulu,444,172504,0.49,0.47,3.94,45.0,390.0,Mordekaiser,Graves,Leblanc,Jhin,Pyke,0
4059,Camille,352,119291,-1.0,0.0,0.0,0.0,-1.0,Nunu,421,301338,0.53,0.69,3.11,223.0,432.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Caitlyn,244,25702,0.51,0.33,1.82,9.0,117.0,Janna,400,684673,0.52,0.53,3.5,197.0,300.0,Jax,Rengar,Ahri,MissFortune,Rakan,1
4060,Aatrox,331,115644,-1.0,0.0,0.0,0.0,-1.0,Evelynn,364,2040244,0.5,0.53,4.24,788.0,965.0,Zed,162,87954,-1.0,0.0,0.0,0.0,-1.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Nami,1090,656178,0.53,0.53,2.76,978.0,1627.0,Teemo,MasterYi,Kennen,Kaisa,Karma,0
4061,Kennen,63,11298,0.52,0.69,2.49,16.0,204.0,Nocturne,159,17093,0.51,0.5,2.36,20.0,396.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Aphelios,119,15311,0.52,0.52,2.85,23.0,121.0,Nautilus,299,17908,0.51,0.71,3.09,7.0,906.0,Yone,Rengar,Akali,Twitch,Lulu,1
4062,Aatrox,137,54058,0.51,0.51,2.33,92.0,358.0,Viego,427,23215,0.51,0.33,2.33,12.0,565.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Sivir,432,71346,0.51,0.61,2.93,75.0,300.0,Renata,419,18606,0.51,0.65,4.28,26.0,637.0,Yasuo,Diana,Ekko,Kaisa,Pantheon,0
4063,Garen,51,7939,0.52,0.0,0.5,2.0,128.0,Graves,121,257637,0.51,0.57,2.99,256.0,929.0,Sylas,37,4941,0.53,0.5,1.88,2.0,94.0,Vayne,1030,948637,-1.0,0.0,0.0,0.0,-1.0,Blitzcrank,334,74425,0.49,0.6,2.69,20.0,383.0,Sett,Volibear,Vladimir,Jinx,Zilean,0
4064,Darius,274,1066860,0.52,0.54,1.92,348.0,691.0,Vi,301,398676,0.49,0.47,1.98,169.0,535.0,Vladimir,91,171892,0.52,0.53,3.15,213.0,233.0,Caitlyn,183,73867,0.5,0.44,1.74,81.0,1495.0,Morgana,322,26279,0.47,0.42,3.27,12.0,132.0,Gnar,Khazix,Lux,Jhin,Leona,0
4065,Jax,49,4179,-1.0,0.0,0.0,0.0,-1.0,Nidalee,516,79399,-1.0,0.0,0.0,0.0,-1.0,Qiyana,89,135363,0.47,0.46,2.27,102.0,470.0,Twitch,79,15828,0.57,0.6,2.06,10.0,206.0,Senna,138,708566,0.51,0.51,2.47,576.0,1036.0,Irelia,Zac,Corki,Samira,Nautilus,0
4066,Renekton,384,164991,0.5,0.5,1.71,20.0,443.0,RekSai,480,719952,0.49,0.53,2.6,138.0,264.0,Chogath,235,20379,0.51,0.43,1.99,21.0,372.0,Ezreal,165,190467,-1.0,0.0,0.0,0.0,-1.0,Janna,885,677304,0.51,0.59,4.35,119.0,804.0,Tryndamere,Kindred,TwistedFate,Jinx,Thresh,1
4067,Gangplank,49,4760,-1.0,0.0,0.0,0.0,-1.0,Diana,282,38328,0.5,0.41,2.04,27.0,428.0,Yone,371,293287,0.5,0.53,2.12,219.0,956.0,Twitch,78,15828,0.57,0.6,2.06,10.0,206.0,Thresh,455,416381,0.52,0.5,2.48,56.0,456.0,Nasus,Viego,TwistedFate,Lucian,Nami,1
4068,Fiora,365,30106,0.6,0.62,2.11,21.0,151.0,Warwick,119,685163,0.48,0.48,2.12,268.0,279.0,Katarina,303,631185,-1.0,0.0,0.0,0.0,-1.0,Ashe,276,35597,-1.0,0.0,0.0,0.0,-1.0,Senna,149,61509,0.52,0.8,3.11,5.0,530.0,Darius,Vi,Velkoz,Twitch,Lux,0
4069,Nasus,49,6665,-1.0,0.0,0.0,0.0,-1.0,Khazix,461,879346,0.5,0.58,3.5,103.0,533.0,Sylas,324,15862,0.45,0.46,1.78,22.0,49.0,Jhin,78,9083,0.57,0.33,2.3,3.0,206.0,Seraphine,223,74797,0.51,0.51,3.79,49.0,189.0,Sion,Rammus,Zoe,KogMaw,Yuumi,1
4070,Yorick,365,927279,-1.0,0.0,0.0,0.0,-1.0,JarvanIV,258,80771,0.49,0.48,3.86,40.0,606.0,Annie,403,3733010,0.5,0.51,2.66,951.0,959.0,Senna,47,2104,0.4,0.5,1.68,4.0,72.0,Seraphine,466,33939,-1.0,0.0,0.0,0.0,-1.0,Urgot,Qiyana,Vladimir,Jinx,Janna,1
4071,Swain,324,727962,0.52,0.55,3.09,296.0,341.0,Kindred,441,138150,0.53,0.68,2.83,37.0,128.0,Yone,113,30021,0.63,0.8,2.71,10.0,89.0,Jhin,421,121698,0.5,0.6,3.84,91.0,713.0,Lux,314,53252,0.49,0.57,2.05,35.0,432.0,Darius,Zac,Corki,KogMaw,Lulu,1
4072,Akshan,203,26480,0.53,0.65,3.18,23.0,108.0,Zac,138,13554,0.51,0.4,3.68,5.0,179.0,Orianna,356,27096,0.51,0.5,1.59,2.0,239.0,Draven,384,928380,-1.0,0.0,0.0,0.0,-1.0,Senna,420,574555,0.53,0.55,2.77,468.0,78.0,Shen,Hecarim,Diana,KogMaw,Lulu,0
4073,Nasus,265,29542,-1.0,0.0,0.0,0.0,-1.0,Khazix,496,143488,0.62,0.63,4.44,8.0,162.0,Katarina,429,243283,0.5,0.48,2.54,64.0,2097.0,Draven,78,6973,0.57,0.0,0.7,1.0,206.0,Senna,420,574555,0.53,0.55,2.77,468.0,78.0,Renekton,LeeSin,Vladimir,Zeri,Lulu,0
4074,Quinn,467,639146,0.5,0.54,1.89,172.0,604.0,Kayn,192,105423,0.46,0.58,2.75,38.0,337.0,Sylas,236,154396,0.47,0.33,2.22,18.0,402.0,Jhin,435,331036,0.54,0.67,4.19,57.0,456.0,Rell,351,430199,0.53,0.55,3.1,534.0,750.0,Nasus,Rammus,Katarina,Twitch,Senna,0
4075,Garen,265,9145,-1.0,0.0,0.0,0.0,-1.0,Viktor,341,48946,-1.0,0.0,0.0,0.0,-1.0,RekSai,268,1575034,0.49,0.53,2.84,498.0,545.0,Jinx,78,24020,0.57,0.56,2.06,16.0,206.0,Morgana,143,40095,0.5,0.48,2.22,23.0,708.0,Gwen,Hecarim,Kassadin,Zeri,Janna,1
4076,Gnar,203,10702,-1.0,0.0,0.0,0.0,-1.0,Khazix,104,459317,0.49,0.5,2.42,273.0,298.0,Jhin,372,933455,0.45,0.48,3.12,120.0,346.0,Vladimir,86,18432,0.57,0.55,1.88,11.0,244.0,Yuumi,80,607461,0.49,0.54,4.08,583.0,788.0,Nasus,XinZhao,Cassiopeia,Caitlyn,Nautilus,0
4077,DrMundo,264,80193,-1.0,0.0,0.0,0.0,-1.0,Rumble,43,7168,0.58,0.67,3.76,12.0,110.0,Viktor,239,61921,0.56,0.69,3.8,32.0,190.0,KogMaw,77,24943,0.57,0.67,2.4,33.0,206.0,Lulu,427,258771,0.5,0.76,4.0,29.0,904.0,Volibear,Diana,Fizz,Zeri,Sona,1
4078,Nasus,264,29542,-1.0,0.0,0.0,0.0,-1.0,XinZhao,96,2148,-1.0,0.0,0.0,0.0,-1.0,Yone,287,479609,0.5,0.54,2.11,141.0,850.0,Jinx,77,24020,0.57,0.56,2.06,16.0,206.0,Karma,805,47162,0.5,0.47,2.63,30.0,689.0,Shen,Kindred,Viktor,Jhin,Shaco,0
4079,Nasus,264,29542,-1.0,0.0,0.0,0.0,-1.0,Graves,122,169266,0.66,0.69,2.99,99.0,116.0,Yone,388,12977,0.54,1.0,4.45,3.0,180.0,KogMaw,77,24943,0.57,0.67,2.4,33.0,206.0,Nami,426,1103126,0.5,0.49,3.84,427.0,904.0,Mordekaiser,Zeri,Vayne,MissFortune,Leona,1
4080,DrMundo,264,80193,-1.0,0.0,0.0,0.0,-1.0,Khazix,54,32189,-1.0,0.0,0.0,0.0,-1.0,Fizz,151,767548,0.51,0.54,3.16,364.0,459.0,Jinx,76,24020,0.57,0.56,2.06,16.0,206.0,Braum,253,63114,0.52,0.75,3.1,32.0,850.0,Volibear,Hecarim,Viktor,Ezreal,Senna,1
4081,Garen,264,9145,-1.0,0.0,0.0,0.0,-1.0,Poppy,543,475396,0.51,0.61,3.42,220.0,653.0,Irelia,112,33214,0.5,0.56,2.26,18.0,442.0,Ezreal,76,10132,0.57,0.43,1.95,7.0,206.0,Janna,364,35627,-1.0,0.0,0.0,0.0,-1.0,Jax,MasterYi,TwistedFate,Samira,Nautilus,0
4082,TahmKench,289,4285,0.55,0.5,2.33,2.0,308.0,Diana,499,102285,0.51,0.5,2.33,122.0,1085.0,Lux,580,288894,-1.0,0.0,0.0,0.0,-1.0,Jinx,559,179104,0.5,0.6,2.26,37.0,220.0,Xerath,402,78964,0.5,0.63,3.13,16.0,1175.0,Sett,Graves,Zilean,Twitch,Karma,1
4083,Akali,273,112483,0.55,0.43,1.42,7.0,238.0,LeeSin,438,482774,0.51,0.48,2.29,79.0,688.0,Yasuo,58,5529,0.47,0.3,1.1,10.0,148.0,Jinx,145,33972,-1.0,0.0,0.0,0.0,-1.0,Nautilus,304,245683,0.52,0.56,3.28,287.0,452.0,Nasus,Khazix,Azir,Caitlyn,Blitzcrank,1
4084,Kayle,132,140697,0.5,0.63,1.73,153.0,563.0,Diana,336,30262,0.53,0.55,3.05,20.0,809.0,Yasuo,263,1012923,0.55,0.56,2.25,252.0,300.0,Jinx,76,24020,0.57,0.56,2.06,16.0,206.0,Lulu,474,69861,0.46,0.21,2.81,19.0,254.0,Irelia,Kayn,KogMaw,Jhin,Leona,1
4085,Aatrox,378,180882,0.54,0.5,2.64,147.0,406.0,Nunu,186,53209,0.51,0.68,3.43,62.0,140.0,Akali,473,2455589,0.5,0.53,2.5,337.0,447.0,Zeri,91,313,0.66,0.0,0.8,3.0,64.0,Alistar,407,25750,0.5,0.5,2.86,2.0,361.0,Ornn,Sejuani,Akshan,Jinx,Morgana,0
4086,Riven,433,1115327,0.53,0.53,2.63,215.0,283.0,Karthus,336,153906,0.53,0.57,3.82,151.0,809.0,Kassadin,379,28621,0.53,0.4,2.03,5.0,313.0,Kaisa,76,5734,0.57,0.6,1.48,5.0,206.0,Blitzcrank,356,4031,0.5,0.25,3.18,4.0,781.0,Chogath,XinZhao,Syndra,Jhin,Senna,0
4087,Ornn,487,29096,-1.0,0.0,0.0,0.0,-1.0,RekSai,155,8101,0.5,0.64,3.31,11.0,276.0,Viktor,338,203315,0.49,0.49,2.55,100.0,390.0,Jhin,415,1645728,0.5,0.53,2.86,455.0,654.0,Soraka,323,826351,0.47,0.49,2.72,313.0,373.0,Sion,Diana,Ziggs,Vayne,Yuumi,1
4088,Akshan,335,100078,0.49,0.54,2.64,103.0,691.0,Khazix,134,26143,-1.0,0.0,0.0,0.0,-1.0,Leblanc,386,88661,0.52,0.41,3.34,29.0,240.0,Caitlyn,124,13972,0.5,0.2,1.31,5.0,392.0,Janna,622,949363,-1.0,0.0,0.0,0.0,-1.0,Nasus,Ekko,Irelia,Ezreal,Lulu,0
4089,Gnar,88,29607,0.49,0.62,1.41,13.0,488.0,Diana,288,72657,0.51,0.66,3.72,58.0,537.0,AurelionSol,239,133552,0.55,0.69,3.54,13.0,303.0,Jhin,128,236546,0.51,0.55,3.09,161.0,581.0,Lulu,76,5384,0.57,1.0,2.93,4.0,206.0,Renekton,Lillia,Jayce,Twitch,Leona,1
4090,Gangplank,469,86008,0.5,0.33,2.26,9.0,437.0,Karthus,89,13302,0.5,0.4,2.51,20.0,844.0,Vladimir,552,496371,0.48,0.49,2.76,205.0,336.0,Ashe,258,76904,0.54,0.33,3.15,3.0,330.0,Bard,274,426215,0.55,0.59,4.79,75.0,97.0,Fiora,Shaco,Corki,Ezreal,Xerath,0
4091,Sett,63,91932,0.51,0.57,2.74,85.0,415.0,Hecarim,264,49693,0.55,0.63,2.81,24.0,194.0,Gwen,507,18702,0.5,0.58,2.22,24.0,1197.0,Kaisa,429,141249,0.49,0.52,2.21,66.0,1166.0,Soraka,75,8468,0.57,1.0,2.0,1.0,206.0,Nasus,Viego,Annie,Varus,Janna,1
4092,Vayne,410,737377,0.57,0.54,2.4,79.0,191.0,Diana,393,76522,0.57,0.61,2.87,74.0,224.0,Vex,381,8746,0.52,0.4,1.97,10.0,346.0,Tristana,75,7864,0.57,0.5,2.5,2.0,206.0,Lux,144,15927,-1.0,0.0,0.0,0.0,-1.0,Kennen,Mordekaiser,Graves,Kaisa,Pyke,0
4093,Sett,326,629312,0.5,0.51,1.53,549.0,807.0,Khazix,407,810440,0.49,0.27,1.78,11.0,345.0,Vayne,66,49543,0.53,0.58,1.7,62.0,428.0,Ziggs,654,190550,0.51,0.5,2.5,54.0,408.0,Brand,75,5241,0.57,0.33,1.96,6.0,206.0,Malphite,Hecarim,Lux,Jhin,Nami,0
4094,Volibear,123,481003,0.5,0.51,1.75,209.0,220.0,Graves,395,109253,0.49,0.4,2.01,70.0,506.0,Karthus,53,1717,0.55,1.0,2.14,1.0,123.0,Jinx,343,54918,0.5,0.48,2.74,62.0,427.0,Bard,331,428863,0.52,0.56,2.6,260.0,781.0,Yone,Viego,Anivia,Kalista,Leona,1
4095,Vladimir,42,62963,0.55,0.53,3.19,109.0,121.0,Warwick,494,1106000,0.5,0.52,2.79,244.0,335.0,Akali,244,54494,-1.0,0.0,0.0,0.0,-1.0,Xayah,42,9260,0.57,0.62,2.0,13.0,102.0,Yuumi,71,51557,0.51,0.48,4.54,90.0,696.0,Darius,Graves,Viktor,Lucian,Rell,0
4096,Shen,247,551963,0.56,0.58,3.44,294.0,275.0,XinZhao,420,33254,0.54,0.5,2.43,14.0,459.0,Ryze,53,6975,0.55,0.67,4.5,3.0,123.0,Blitzcrank,37,28916,0.53,0.54,2.13,50.0,201.0,Kaisa,179,17341,0.56,0.5,4.04,6.0,401.0,Fiora,Diana,Ahri,Xayah,Rakan,1
4097,Ornn,64,23233,0.47,0.63,2.45,16.0,230.0,Graves,536,144493,0.48,0.0,5.83,1.0,136.0,Kaisa,48,10420,0.47,0.53,2.05,15.0,103.0,Seraphine,493,189614,0.51,0.62,2.89,207.0,530.0,Zyra,196,8102,0.49,0.33,1.79,3.0,201.0,Urgot,JarvanIV,Yone,Karthus,Soraka,0
4098,Rengar,166,249390,0.53,0.6,3.24,207.0,601.0,Yorick,114,626818,0.49,0.54,2.08,558.0,872.0,Akali,53,8700,0.55,0.67,2.64,3.0,123.0,Jinx,265,210552,0.53,0.55,2.22,106.0,551.0,Lulu,464,327354,0.52,0.56,3.28,149.0,649.0,Yone,Khazix,Gragas,MissFortune,Velkoz,1
4099,Ryze,671,469490,0.5,0.49,1.76,619.0,1106.0,Khazix,40,82332,0.53,0.59,3.27,103.0,152.0,Zed,302,2625537,-1.0,0.0,0.0,0.0,-1.0,Jinx,53,5065,0.55,0.75,2.72,4.0,123.0,Karma,594,79951,0.51,0.52,3.82,25.0,1503.0,Illaoi,MonkeyKing,Irelia,Kaisa,Blitzcrank,1
4100,Renekton,312,1134052,0.51,0.52,1.68,234.0,247.0,Sejuani,306,140604,0.51,0.73,4.41,22.0,331.0,Viktor,148,9466,0.52,0.5,1.51,14.0,288.0,Karthus,221,17454,0.55,0.67,3.08,18.0,47.0,Leona,476,148941,0.59,0.68,2.55,19.0,118.0,Aatrox,Zac,Sylas,Ashe,Zyra,1
4101,Tryndamere,74,37093,0.42,0.57,2.39,14.0,53.0,Kayn,270,415003,-1.0,0.0,0.0,0.0,-1.0,Viktor,390,483864,0.53,0.61,3.1,106.0,329.0,Lucian,337,126445,0.54,0.44,2.16,27.0,305.0,Janna,428,85377,0.52,0.55,3.87,51.0,151.0,Fiora,Ekko,Sylas,Kalista,Maokai,1
4102,Poppy,304,1650516,0.51,0.52,2.57,495.0,406.0,Karthus,280,15460,0.51,0.0,0.8,1.0,360.0,Yone,268,52694,0.5,0.51,1.62,71.0,404.0,Xayah,53,2450,0.55,0.0,1.29,2.0,123.0,Karma,513,60467,0.53,0.47,2.78,30.0,604.0,Sion,Khazix,Vladimir,Ashe,Pyke,0
4103,Aatrox,173,54155,0.58,0.61,2.33,54.0,147.0,Poppy,274,1494,0.55,0.33,2.13,3.0,277.0,Ahri,409,446646,-1.0,0.0,0.0,0.0,-1.0,MissFortune,333,541135,0.5,0.47,1.66,75.0,393.0,Braum,169,254323,0.45,0.38,2.53,29.0,112.0,Yone,JarvanIV,Sylas,Lucian,Nami,0
4104,MonkeyKing,85,151605,0.52,0.49,2.54,85.0,214.0,Ekko,123,403915,0.52,0.53,3.35,249.0,315.0,Katarina,541,605183,-1.0,0.0,0.0,0.0,-1.0,Xayah,407,238669,0.58,0.56,3.41,9.0,139.0,Senna,115,226185,0.5,0.53,2.45,333.0,674.0,Kayle,Qiyana,Lissandra,Ashe,Xerath,0
4105,DrMundo,94,53326,0.52,0.57,2.87,79.0,518.0,Diana,284,86304,0.51,0.44,2.19,64.0,1083.0,Ahri,359,29552,0.51,0.58,2.38,31.0,494.0,Samira,73,37850,0.52,0.58,3.56,26.0,152.0,Thresh,73,16436,0.55,0.5,2.57,20.0,170.0,Aatrox,Amumu,Akali,Ezreal,Soraka,0
4106,Nasus,388,15614,-1.0,0.0,0.0,0.0,-1.0,Diana,193,137175,0.5,0.56,2.48,156.0,216.0,Yasuo,310,257166,0.57,0.59,2.15,22.0,232.0,Ezreal,200,135174,0.54,0.62,2.05,99.0,334.0,Renata,515,216160,0.48,0.52,2.75,344.0,543.0,TahmKench,Lillia,Yone,Twitch,Soraka,1
4107,Gwen,268,9701,0.55,0.63,2.39,8.0,243.0,MasterYi,343,1540154,0.49,0.53,2.17,127.0,364.0,Yone,52,15220,0.55,0.5,1.79,12.0,123.0,Samira,601,12863,0.49,0.43,1.73,7.0,498.0,Blitzcrank,165,655028,0.49,0.58,4.09,67.0,262.0,MonkeyKing,Udyr,Vex,Lucian,Leona,1
4108,Renekton,41,9563,0.5,0.5,2.17,2.0,42.0,Volibear,364,11555,0.51,0.53,3.19,17.0,495.0,Ahri,229,54713,0.51,0.5,2.77,44.0,211.0,MissFortune,52,5392,0.55,0.67,2.62,3.0,123.0,Taliyah,52,8738,0.49,0.5,1.25,6.0,188.0,Urgot,Zac,Veigar,Kaisa,Yuumi,0
4109,Jax,104,16639,-1.0,0.0,0.0,0.0,-1.0,MasterYi,85,215926,0.48,0.53,1.61,166.0,312.0,Viktor,52,3196,0.55,0.75,2.87,4.0,123.0,Sivir,298,67466,0.54,0.73,2.93,15.0,275.0,Velkoz,401,345224,0.54,0.54,2.61,285.0,295.0,Mordekaiser,RekSai,Akshan,Draven,Renata,1
4110,Akshan,193,117565,0.49,0.46,2.07,190.0,900.0,Nunu,370,179309,0.56,0.58,5.64,86.0,136.0,Syndra,52,14801,0.55,0.53,3.0,15.0,123.0,Jinx,246,217057,-1.0,0.0,0.0,0.0,-1.0,Zilean,352,29908,0.52,0.48,2.25,31.0,696.0,Aatrox,Amumu,Talon,Seraphine,Thresh,0
4111,Kennen,321,6426,0.47,1.0,2.2,1.0,60.0,Khazix,211,153095,-1.0,0.0,0.0,0.0,-1.0,Anivia,261,393149,0.51,0.52,2.69,270.0,581.0,Kaisa,346,752189,0.5,0.44,2.4,124.0,1444.0,Blitzcrank,389,99299,0.52,0.83,2.4,6.0,611.0,Gnar,Diana,Yone,Ezreal,Senna,1
4112,Darius,83,103218,-1.0,0.0,0.0,0.0,-1.0,Diana,239,9976,0.51,0.33,1.55,6.0,534.0,Ahri,287,290171,0.52,0.65,2.75,75.0,571.0,Vayne,248,1472398,0.5,0.52,2.13,826.0,905.0,Nami,382,361880,0.5,0.48,2.74,159.0,879.0,Camille,Nunu,Sylas,MissFortune,Renata,0
4113,Sion,345,73036,0.54,0.0,0.0,0.0,101.0,Sejuani,308,196285,0.53,0.0,0.0,0.0,51.0,Veigar,296,18120,0.52,0.38,1.7,24.0,1053.0,Jhin,46,10259,0.5,0.36,3.18,14.0,425.0,Janna,183,136450,-1.0,0.0,0.0,0.0,-1.0,Illaoi,Ekko,Yone,Vayne,Blitzcrank,0
4114,Ornn,207,7510,0.52,0.5,1.65,6.0,368.0,Diana,315,25115,-1.0,0.0,0.0,0.0,-1.0,Yasuo,330,522758,0.54,0.59,2.41,330.0,520.0,Kaisa,188,20194,0.54,0.48,2.88,25.0,271.0,Brand,454,88325,0.52,0.6,1.36,5.0,383.0,Zac,Kayn,Syndra,MissFortune,Soraka,1
4115,Malphite,167,2975,0.39,1.0,1.63,1.0,62.0,Volibear,50,25302,0.5,0.5,3.11,44.0,367.0,Syndra,52,14801,0.55,0.53,3.0,15.0,123.0,Xayah,398,90509,0.51,0.52,2.66,64.0,908.0,Senna,303,54522,-1.0,0.0,0.0,0.0,-1.0,Warwick,Kayn,Viktor,Kaisa,Soraka,1
4116,Irelia,516,289652,-1.0,0.0,0.0,0.0,-1.0,Skarner,97,5789,0.56,0.75,2.97,8.0,159.0,Katarina,450,121157,0.53,0.52,2.12,52.0,628.0,Vayne,247,167065,0.51,0.51,2.62,96.0,406.0,Renata,369,24742,-1.0,0.0,0.0,0.0,-1.0,Jayce,XinZhao,Syndra,Twitch,Thresh,1
4117,Garen,307,41082,-1.0,0.0,0.0,0.0,-1.0,DrMundo,366,230609,0.55,0.29,3.03,7.0,76.0,Syndra,51,14801,0.55,0.53,3.0,15.0,123.0,Ezreal,123,20142,0.52,0.59,2.94,22.0,625.0,Nautilus,237,59420,0.53,0.58,2.72,38.0,701.0,Irelia,Sejuani,Karma,Twitch,Blitzcrank,1
4118,Tryndamere,47,124629,0.55,0.59,3.19,102.0,122.0,Rammus,78,1147,0.57,0.0,0.71,1.0,72.0,Vladimir,273,21595,0.49,0.3,1.19,43.0,511.0,Kaisa,60,99528,0.51,0.54,3.12,169.0,463.0,Yuumi,372,478209,-1.0,0.0,0.0,0.0,-1.0,Trundle,Graves,Syndra,Zeri,Janna,0
4119,Quinn,398,17079,0.51,0.5,1.5,4.0,575.0,Zac,111,17571,0.51,0.55,3.19,22.0,462.0,Yone,51,15220,0.55,0.5,1.79,12.0,123.0,Jinx,361,104781,0.5,0.48,1.89,91.0,496.0,Seraphine,503,59135,0.47,0.48,3.07,27.0,396.0,Yorick,Karthus,LeeSin,Aphelios,Thresh,0
4120,Tryndamere,124,100164,0.49,0.57,1.9,91.0,540.0,Hecarim,66,18694,0.49,0.33,2.46,3.0,178.0,Gangplank,53,71193,0.52,0.45,1.62,114.0,445.0,Xayah,341,67632,0.51,0.48,2.88,27.0,762.0,Seraphine,186,98858,0.47,0.51,1.56,162.0,377.0,Irelia,Nocturne,Sylas,Jinx,Pyke,0
4121,Teemo,352,19736,0.49,0.4,2.23,5.0,529.0,Evelynn,432,1501098,0.52,0.54,3.05,419.0,502.0,Yasuo,501,416970,0.51,0.53,1.39,116.0,651.0,Jhin,54,8249,-1.0,0.0,0.0,0.0,-1.0,Pyke,255,63434,0.48,0.48,2.1,73.0,281.0,Aatrox,Nocturne,TwistedFate,Lucian,Nami,0
4122,Shen,447,157198,0.51,0.55,2.35,173.0,681.0,Rengar,174,122410,0.57,0.62,2.7,39.0,249.0,Neeko,127,31213,0.52,0.52,2.78,29.0,255.0,Jhin,448,1319235,0.51,0.55,3.24,715.0,818.0,Swain,255,180473,0.49,0.52,2.44,264.0,327.0,Warwick,Shaco,TwistedFate,Jinx,Alistar,1
4123,Lulu,300,38520,0.49,0.58,3.38,38.0,477.0,Volibear,98,72682,0.51,0.53,3.15,125.0,638.0,Lissandra,324,372365,0.53,0.54,2.87,171.0,212.0,KogMaw,202,25967,0.51,0.68,3.88,25.0,358.0,Karthus,668,69349,-1.0,0.0,0.0,0.0,-1.0,Kayle,Udyr,Irelia,Ashe,Seraphine,0
4124,Lulu,300,38520,0.49,0.58,3.38,38.0,477.0,Trundle,90,9783,0.53,0.67,2.71,15.0,348.0,Anivia,181,733136,-1.0,0.0,0.0,0.0,-1.0,Vayne,202,134431,0.51,0.46,2.99,26.0,358.0,Senna,397,15150,-1.0,0.0,0.0,0.0,-1.0,Volibear,Viego,Annie,Varus,Nautilus,1
4125,Darius,101,9952,0.51,0.41,1.82,17.0,55.0,Kindred,263,18859,0.48,0.67,2.62,12.0,48.0,Akali,592,139867,0.49,0.62,2.56,29.0,685.0,Seraphine,285,7972,0.47,0.0,1.5,1.0,326.0,Elise,320,74101,0.55,0.0,1.57,1.0,65.0,Lulu,Talon,Ahri,KogMaw,Senna,0
4126,Mordekaiser,398,35214,-1.0,0.0,0.0,0.0,-1.0,Viego,383,133138,0.51,0.54,2.64,59.0,594.0,Swain,525,87997,0.51,0.64,2.82,11.0,544.0,Ashe,349,69143,0.51,0.4,2.45,5.0,279.0,Nautilus,569,54263,-1.0,0.0,0.0,0.0,-1.0,Lulu,Kindred,MonkeyKing,KogMaw,Anivia,0
4127,Lulu,299,38520,0.49,0.58,3.38,38.0,477.0,Vi,115,181536,0.48,0.43,3.17,74.0,184.0,Yone,41,10883,0.49,0.73,2.87,15.0,312.0,KogMaw,201,25967,0.51,0.68,3.88,25.0,358.0,Lux,272,591982,0.53,0.58,2.87,129.0,248.0,Irelia,Rammus,Garen,Xayah,Ashe,1
4128,Ornn,289,162669,0.5,0.67,3.25,150.0,713.0,Lillia,329,63245,0.51,0.39,2.35,13.0,562.0,Veigar,417,768128,0.55,0.57,2.43,67.0,98.0,Jhin,88,17622,0.52,0.44,3.72,23.0,369.0,Lux,122,10289,0.51,0.57,2.47,14.0,412.0,Lulu,Volibear,Ahri,KogMaw,Janna,0
